passenger_bucket,passenger_count,payment_type,pickup_hour,total_trips,total_fare,total_tip,avg_tip_percent,tip_range
3-6,6,2,14,6243,90373.15,0,0,0-5%
3-6,5,1,6,6092,107452.5,24333.19,22.6455317,20%+
3-6,4,1,2,6085,77423.78,17511.42,22.6176247,20%+
3-6,6,2,13,6074,85481.3,0,0,0-5%
3-6,6,2,15,6016,87898.1,0,0,0-5%
3-6,6,2,12,5903,83447,0,0,0-5%
3-6,4,2,23,5796,93751.34,0,0,0-5%
3-6,5,2,22,5787,76801,0,0,0-5%
3-6,5,2,9,5621,76907.25,0,0,0-5%
3-6,6,2,11,5584,76352.5,0,0,0-5%
3-6,6,2,16,5371,80293.51,0,0,0-5%
3-6,3,2,7,5250,103994.2,0,0,0-5%
3-6,6,2,17,5223,75256.3,0,0,0-5%
3-6,6,2,10,5154,70632,0,0,0-5%
3-6,5,2,23,4989,73492,0,0,0-5%
3-6,3,1,4,4980,96227.55,20691.11,21.5022725,20%+
3-6,6,2,18,4797,65728.9,0,0,0-5%
3-6,6,1,2,4763,59085.5,14015.74,23.721116,20%+
3-6,3,2,1,4691,74426.79,0,0,0-5%
3-6,6,2,9,4336,59044,0,0,0-5%
3-6,6,2,19,4239,56306.8,0,0,0-5%
3-6,5,2,8,4197,61264.5,0,0,0-5%
3-6,5,1,3,4177,55139.5,13169.98,23.8848375,20%+
3-6,4,2,8,3916,78372.7,0,0,0-5%
3-6,3,1,5,3880,112555.67,23904.91,21.2382992,20%+
3-6,4,1,3,3853,51898.36,11752.63,22.6454747,20%+
3-6,4,2,0,3751,69123.74,0,0,0-5%
3-6,5,2,0,3705,54305,0,0,0-5%
3-6,4,1,6,3638,85440.5,18365.33,21.4948766,20%+
3-6,6,2,20,3625,46747.3,0,0,0-5%
3-6,6,2,8,3524,50440.5,0,0,0-5%
3-6,6,2,21,3503,45653,0,0,0-5%
3-6,6,2,22,3338,45403.4,0,0,0-5%
3-6,6,1,3,3175,41072.5,9681.09,23.5707347,20%+
3-6,5,2,7,3128,47245.5,0,0,0-5%
3-6,3,2,6,3063,68740.05,0,0,0-5%
3-6,3,2,2,2963,44030.5,2.83,0.0064274,0-5%
